"Id","LinkedEntityId","ContentDocumentId","IsDeleted","SystemModstamp","ShareType","Visibility"
"06A4P00000B3ufeUAB","0054P00000AgNLNQA3","0694P000008YiyDQAS","0","2019-08-22 20:23:15","I","AllUsers"
"06A4P00000B3uffUAB","02s4P00000hOZDSQA4","0694P000008YiyDQAS","0","2019-08-22 20:23:15","V","AllUsers"
"06A4P00000B3ufhUAB","0054P00000AgNLNQA3","0694P000008YiyHQAS","0","2019-08-22 20:22:57","I","AllUsers"
"06A4P00000B3ufiUAB","02s4P00000hOZDIQA4","0694P000008YiyHQAS","0","2019-08-22 20:22:57","V","AllUsers"
"06A4P00000B3ufmUAB","0054P00000AgNLNQA3","0694P000008YiyMQAS","0","2019-08-22 20:23:05","I","AllUsers"
"06A4P00000B3ufnUAB","02s4P00000hOZDNQA4","0694P000008YiyMQAS","0","2019-08-22 20:23:05","V","AllUsers"
"06A4P00000B3ufoUAB","0054P00000AgNLNQA3","0694P000008YiyNQAS","0","2019-08-22 20:23:25","I","AllUsers"
"06A4P00000B3ufpUAB","02s4P00000hOZDcQAO","0694P000008YiyNQAS","0","2019-08-22 20:23:25","V","AllUsers"
"06A4P00000B3ufqUAB","0054P00000AgNLNQA3","0694P000008YiyOQAS","0","2019-08-22 20:24:21","I","AllUsers"
"06A4P00000B3ufrUAB","0054P00000AgNLNQA3","0694P000008YiyRQAS","0","2019-08-22 20:23:53","I","AllUsers"
"06A4P00000B3ufsUAB","02s4P00000hOZDrQAO","0694P000008YiyRQAS","0","2019-08-22 20:23:53","V","AllUsers"
"06A4P00000B3ug1UAB","0054P00000AgNLNQA3","0694P000008YiybQAC","0","2019-08-22 20:24:12","I","AllUsers"
"06A4P00000B3ug2UAB","02s4P00000hOZDsQAO","0694P000008YiybQAC","0","2019-08-22 20:24:12","V","AllUsers"
"06A4P00000B3ug6UAB","02s4P00000hOZDTQA4","0694P000008YiyOQAS","0","2019-08-22 20:24:21","V","AllUsers"
"06A4P00000B3ugBUAR","0054P00000AgNLNQA3","0694P000008YiygQAC","0","2019-08-22 20:24:29","I","AllUsers"
"06A4P00000B3ugCUAR","02s4P00000hOZD5QAO","0694P000008YiygQAC","0","2019-08-22 20:24:29","V","AllUsers"
"06A4P00000B3ugkUAB","0054P00000AgNLNQA3","0694P000008Yiz0QAC","0","2019-08-22 20:25:41","I","AllUsers"
"06A4P00000B3uglUAB","02s4P00000hOZEaQAO","0694P000008Yiz0QAC","0","2019-08-22 20:25:41","V","AllUsers"
"06A4P00000B3uknUAB","0054P00000AgNLNQA3","0694P000008Yj1uQAC","0","2019-08-22 20:47:38","I","AllUsers"
"06A4P00000B3ukoUAB","02s4P00000hOZNNQA4","0694P000008Yj1uQAC","0","2019-08-22 20:47:38","V","AllUsers"
"06A4P00000B3uokUAB","0054P00000AgNLNQA3","0694P000008Yj4UQAS","0","2019-08-22 21:06:35","I","AllUsers"
"06A4P00000B3uolUAB","02s4P00000hOZVlQAO","0694P000008Yj4UQAS","0","2019-08-22 21:06:35","V","AllUsers"
"06A4P00000B3yjZUAR","0054P00000ADnbrQAD","0694P000008Ym0lQAC","0","2019-08-26 14:14:41","I","AllUsers"
"06A4P00000B3yjaUAB","02s4P00000hOhNuQAK","0694P000008Ym0lQAC","0","2019-08-26 14:14:41","V","AllUsers"
